"Name","Agent","State","Notes","User","Tags","Created","Runtime","activation","batch_size","epochs","lr","method","metric.goal","metric.name","momentum","optimizer","parameters.activations","parameters.batch_sizes","parameters.epochss","parameters.lrs","parameters.momentums","parameters.optimizers","parameters.seeds","parameters.weight_decays","seed","weight_decay","epoch","test_acc","test_loss","train_acc","train_loss","val_acc","val_loss"
"vgg6_20251025-190416","","finished","-","","","2025-10-25T19:04:15.000Z","399","gelu","128","20","0.05","","","","0.9","sgd","","","","","","","","","2","0","19","85.96716772151899","0.4479549646000318","91.90365570512684","0.2357746247329157","85.01953125","0.4816620964556933"
"vgg6_20251025-211232","","finished","-","","","2025-10-25T21:12:31.000Z","389","silu","256","20","0.05","","","","0.9","sgd","","","","","","","","","3","0.0005","19","84.287109375","0.4691406093537808","87.06178976730867","0.3755110768093304","84.17853862047195","0.4399730190634727"
"vgg6_20251025-193113","","finished","-","","","2025-10-25T19:31:13.000Z","415","tanh","64","20","0.02","","","","0.9","sgd","","","","","","","","","3","0","19","80.42396496815286","0.5697517924627681","83.544921875","0.4690352975263853","80.22151898734177","0.5667566932454894"
"vgg6_20251025-201924","","finished","-","","","2025-10-25T20:19:23.000Z","614","tanh","64","30","0.1","","","","0.9","sgd","","","","","","","","","1","0.0005","29","75.33837579617835","0.7016819819902919","73.49076704545455","0.7601329503496262","75.13844936708861","0.7175369194791287"
"vgg6_20251025-200521","","finished","-","","","2025-10-25T20:05:20.000Z","417","relu","64","20","0.01","","","","0.9","adagrad","","","","","","","","","2","0.0005","19","62.28105095541401","1.0348710645535948","65.68492542613636","0.9617432019334624","61.23417721518988","1.074639176266103"
"vgg6_20251025-184503","","finished","-","","","2025-10-25T18:45:02.000Z","566","relu","256","30","0.01","","","","0.9","adam","","","","","","","","","2","0.005","29","19.6484375","2.0379399210214615","16.926047578454018","2.148673978041519","19.38763782382011","2.0512033224105837"
"vgg6_20251025-185435","","finished","-","","","2025-10-25T18:54:33.000Z","579","gelu","128","30","0.05","","","","0.9","rmsprop","","","","","","","","","1","0.0005","29","9.95846518987342","50.480780106556566","9.833935055543076","3800949750.169087","10.68359375","3.700059014558792"
"vgg6_20251025-212835","","finished","-","","","2025-10-25T21:28:34.000Z","607","sigmoid","64","30","0.05","","","","0.9","sgd","","","","","","","","","1","0.005","29","9.982085987261147","2.3043352965336696","9.845525568181818","2.308101172135635","10.660601265822784","2.3053695642495455"
"vgg6_20251025-203932","","finished","-","","","2025-10-25T20:39:26.000Z","399","sigmoid","128","20","0.02","","","","0.9","nadam","","","","","","","","","2","0.0005","19","9.95846518987342","2.3671995084496995","9.761186079545457","2.340575234456496","10.3515625","2.399440371990204"
"vgg6_20251025-210235","","finished","-","","","2025-10-25T21:02:34.000Z","585","silu","128","30","0.1","","","","0.9","sgd","","","","","","","","","2","0.005","29","9.95846518987342","2.303586630881587","10.096324573863637","2.3041575605219062","10.3515625","2.304220473766327"
